Ryan Young - Randy Silvey
Johanna Matthiä - Florian Hess
Ondra Kolega - Irena Kulišanová
Konrad Patris - Chris Bellaj
Jan Schreck - Lukáš Lacina
Dominik Raclavský - Olga Fišnerová
Sascha Höhne - Tom Leitner
Pavel Baranyk - Michal Maciolek
Oliver Petrus - Lukáš Zimovčák
Jakub Mystiq Matula - Paul Kenny
Fabian Dinklage - Freddy Finner
Michał Piekarski - Filip Korzycki
Stefan Dünkel - Christian Lamred
Mateusz Gajewski - Petr Honzík
Adrian Röder - El Nino 
Randy Silvey - Daniel Weinbuch
Jiří Weiss - Robert Dittrich
Jens Friebe - Philipp Krüger
